Date,Open,High,Low,Close,Adj Close,Volume
2017-09-01,2474.419922,2480.379883,2473.850098,2476.550049,2476.550049,2710730000
2017-09-05,2470.350098,2471.969971,2446.550049,2457.850098,2457.850098,3490260000
2017-09-06,2463.830078,2469.639893,2459.199951,2465.540039,2465.540039,3374410000
2017-09-07,2468.060059,2468.620117,2460.290039,2465.100098,2465.100098,3353930000
2017-09-08,2462.250000,2467.110107,2459.399902,2461.429932,2461.429932,3302490000
2017-09-11,2474.520020,2488.949951,2474.520020,2488.110107,2488.110107,0
2017-09-12,2491.939941,2496.770020,2490.370117,2496.479980,2496.479980,3230920000
2017-09-13,2493.889893,2498.370117,2492.139893,2498.370117,2498.370117,3368050000
2017-09-14,2494.560059,2498.429932,2491.350098,2495.620117,2495.620117,3414460000
2017-09-15,2495.669922,2500.229980,2493.159912,2500.229980,2500.229980,4853170000
2017-09-18,2502.510010,2508.320068,2499.919922,2503.870117,2503.870117,3194300000
2017-09-19,2506.290039,2507.840088,2503.189941,2506.649902,2506.649902,3249100000
2017-09-20,2506.840088,2508.850098,2496.669922,2508.239990,2508.239990,3530010000
2017-09-21,2507.159912,2507.159912,2499.000000,2500.600098,2500.600098,2930860000
2017-09-22,2497.260010,2503.469971,2496.540039,2502.219971,2502.219971,2865960000
2017-09-25,2499.389893,2502.540039,2488.030029,2496.659912,2496.659912,3297890000
2017-09-26,2501.040039,2503.510010,2495.120117,2496.840088,2496.840088,3043110000
2017-09-27,2503.300049,2511.750000,2495.909912,2507.040039,2507.040039,3456030000
2017-09-28,2503.409912,2510.810059,2502.929932,2510.060059,2510.060059,3168620000
2017-09-29,2509.959961,2519.439941,2507.989990,2519.360107,2519.360107,1809911727
